run_name,method,method_tag,adaptive_rel_mode,density,mobility,noise,energy,seed,windows_run,avg_rmse_all,std_rmse_all,p95_rmse_all,avg_rmse_non,std_rmse_non,p95_rmse_non,avg_objective,avg_K,min_K,max_K,pct_cap_limited,total_energy_spent,final_energy_remaining,spike_rejections,nodes_clamped_total,K_fixed,contact_threshold,smacof_iters
HD-MH-NL-EL-GMDS-S2,GMDS,GMDS,,HD,H,L,L,2,7,13.098318569722784,0.97443739687714,14.116797804723006,12.895863588028499,0.9623640332752944,13.848948898749384,14.358318569722785,7.0,7,7,0.0,73.5,6.5,0,0,7,,
HD-MH-NL-EL-S1,adaptive,,classical,HD,H,L,L,1,14,4.415736678507419,6.485089998400746,15.109433602063053,4.462546773263756,6.539133015038829,15.208045700417594,5.0971652499359905,3.7857142857142856,3,5,0.0,79.5,0.5,0,0,,,
HD-MH-NL-EL-S2,adaptive,,classical,HD,H,L,L,2,12,2.6199497325187395,5.213864602626229,14.176970053519858,2.6218074237695994,5.195581759617104,14.116062484571621,3.3849497325187397,4.25,4,5,0.0,76.5,3.5,0,0,,,
HD-MH-NL-EL-S3,adaptive,,classical,HD,H,L,L,3,15,0.33670114957961317,0.06584471411653232,0.44039080262407937,0.34639705094630613,0.06889570627575156,0.4547689744435291,0.9727011495796132,3.533333333333333,3,4,0.0,79.5,0.5,0,0,,,
HD-MH-NL-EL-SMACOF-S1,SMACOF,SMACOF,,HD,H,L,L,1,7,0.12638030182456564,0.016347470972087472,0.15321571866156478,0.1275467473535691,0.014582657085869115,0.1515456016144713,1.3863803018245657,7.0,7,7,0.0,73.5,6.5,0,0,7,,
HD-MH-NL-EL-SMACOF-S2,SMACOF,SMACOF,,HD,H,L,L,2,7,12.706447576012312,0.6872297576627189,13.75150459644314,12.571843714239984,0.7912667198651164,13.855547216922972,13.966447576012314,7.0,7,7,0.0,73.5,6.5,0,0,7,,
HD-ML-NH-EH-ADAPT-CLASSICAL-S1,adaptive,EH-ADAPT-CLASSICAL,classical,HD,L,H,H,1,40,9.818806490133722,6.058878043253341,17.951215435354122,10.037055948455379,6.146471170256121,18.327948461086265,10.597306490133722,4.325,3,6,0.0,173.0,227.0,0,0,,,
HD-ML-NH-EH-ADAPT-CLASSICAL-S2,adaptive,EH-ADAPT-CLASSICAL,classical,HD,L,H,H,2,40,11.62814908758532,6.334465518440408,16.744520194190063,11.792047649881024,6.836205046628856,17.00805816556583,12.622649087585321,5.525,4,8,0.0,221.0,179.0,0,0,,,
HD-ML-NH-EH-ADAPT-GMDS-S1,adaptive,EH-ADAPT-GMDS,GMDS,HD,L,H,H,1,40,5.972388224256212,6.98912702959031,16.753088433610355,6.038694197783131,7.026925287766443,17.215614984048944,6.903888224256212,5.175,3,7,0.0,207.0,193.0,0,0,,,
HD-ML-NH-EH-ADAPT-GMDS-S2,adaptive,EH-ADAPT-GMDS,GMDS,HD,L,H,H,2,40,14.130862549729056,2.2061966302045986,15.636980875141154,13.99986856356522,2.2687169003364307,15.97669709237248,15.597862549729058,8.15,4,11,0.0,326.0,74.0,0,0,,,
